City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
136,483,Anito,PH,79.34,overcast clouds,12.4497,125.2886,The Yellow House
137,488,Hoi An,VN,78.8,mist,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
138,492,Jiwani,PK,81.01,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
139,499,Honavar,IN,76.96,broken clouds,14.2833,74.45,Hotel Sagar Residency
140,503,Pontianak,ID,75.2,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
141,513,Muli,MV,83.57,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
142,519,Angoche,MZ,76.33,scattered clouds,-16.2325,39.9086,Guest House HESADA
144,522,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
145,525,Toamasina,MG,80.6,light rain,-18.1667,49.3833,Hotel H1
146,535,Dubti,ET,81.84,overcast clouds,11.7361,41.0853,degu Shiferaw
147,539,Tual,ID,83.14,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
148,548,Bosaso,SO,79.39,few clouds,11.2842,49.1816,Red Sea Hotel
150,557,Kavaratti,IN,83.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
152,583,Acoyapa,NI,89.6,scattered clouds,11.9703,-85.1711,Hotel Los Robles
153,584,Puerto Carreno,CO,87.51,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
154,586,Sarangani,PH,82.42,overcast clouds,5.4033,125.4636,Ballistic Islet
155,587,Acapulco,MX,87.8,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
156,596,Kinablangan,PH,79.18,overcast clouds,7.6947,126.5503,Danny Moreno Property
157,597,Tucurui,BR,75.65,moderate rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
158,598,Murray Bridge,AU,75.99,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
159,600,Lucea,JM,81.0,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
160,603,Phan Thiet,VN,75.87,overcast clouds,10.9333,108.1,Hotel Saigon-PT
161,607,Kudahuvadhoo,MV,83.05,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
162,610,Salinas,US,82.4,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
163,611,Amahai,ID,80.56,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
164,614,Mayumba,GA,78.71,light rain,-3.432,10.6554,LIKWALE LODGE
165,620,Maningrida,AU,75.4,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
166,623,Biltine,TD,75.79,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
167,628,Tomatlan,MX,86.58,clear sky,19.9333,-105.25,Norma franco
168,643,Brasilia,BR,75.2,scattered clouds,-15.7797,-47.9297,Grand Mercure Brasilia Eixo Monumental
169,644,Honiara,SB,85.1,overcast clouds,-9.4333,159.95,Heritage Park Hotel
170,645,Phayakkhaphum Phisai,TH,86.0,few clouds,15.5163,103.1937,โรงแรมบ้านนงนุชโฮเตล
171,647,Basco,PH,80.26,clear sky,20.4487,121.9702,Nathaniel's Lodge
172,649,Dawei,MM,76.95,overcast clouds,14.0833,98.2,Hotel Dawei
174,656,Laguna,US,84.2,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
175,658,Dapaong,TG,86.59,broken clouds,10.8639,0.205,Hotel Caroli
177,670,Saint-Pierre,RE,77.0,broken clouds,-21.3393,55.4781,Lindsey Hôtel
178,673,La Romana,DO,82.4,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
179,682,Coahuayana,MX,86.0,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
180,684,Carupano,VE,75.61,overcast clouds,10.6678,-63.2585,Hotel La dorada
181,693,Kaohsiung,TW,77.0,broken clouds,22.6163,120.3133,Kindness Hotel
182,698,Finschhafen,PG,84.29,light rain,-6.6024,147.8681,Cossam Guest House
183,700,Asamankese,GH,84.2,few clouds,5.8601,-0.6635,Juniel lodge
