City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Chivilcoy,AR,-34.8957,-60.0167,69.01,66,99,8.01,overcast clouds
203,Cabedelo,BR,-6.9811,-34.8339,80.6,83,20,5.75,few clouds
204,Damavand,IR,35.7178,52.065,64.4,32,40,4.61,scattered clouds
205,Broome,US,42.2506,-75.833,35.01,64,90,14.97,overcast clouds
206,Crotone,IT,39.0851,17.1178,54.0,68,13,8.99,few clouds
207,Luderitz,NA,-26.6481,15.1594,67.93,65,0,12.3,clear sky
208,Naze,JP,28.3667,129.4833,69.8,94,75,18.41,broken clouds
209,Lewiston,US,44.1003,-70.2148,42.01,65,90,19.57,overcast clouds
210,Mulege,MX,26.8833,-111.9833,83.84,22,68,2.55,broken clouds
211,Dingle,PH,10.9995,122.6711,76.21,83,100,8.12,overcast clouds
212,Ca Mau,VN,9.1769,105.15,78.35,85,87,3.06,overcast clouds
213,Labuhan,ID,-6.8844,112.2051,77.2,83,100,4.45,overcast clouds
214,Varberg,SE,57.1056,12.2508,37.0,90,12,4.0,few clouds
215,Warka,PL,51.7843,21.1909,51.01,75,75,13.8,broken clouds
216,Takoradi,GH,4.8845,-1.7554,80.13,86,14,6.93,few clouds
217,Champerico,GT,14.3,-91.9167,93.2,43,40,16.11,scattered clouds
218,Sauk Village,US,41.4884,-87.5675,35.6,51,1,10.36,clear sky
219,Mollendo,PE,-17.0231,-72.0147,69.17,83,89,6.38,overcast clouds
220,Salalah,OM,17.0151,54.0924,77.0,50,0,4.61,clear sky
221,Muros,ES,42.7762,-9.0603,60.01,91,93,4.56,overcast clouds
222,Turukhansk,RU,65.8167,87.9833,-1.59,85,77,14.94,broken clouds
223,Hambantota,LK,6.1241,81.1185,75.2,100,40,14.5,scattered clouds
224,Poum,NC,-20.2333,164.0167,76.78,77,100,14.43,overcast clouds
225,Namatanai,PG,-3.6667,152.4333,83.68,74,85,6.02,light rain
226,Nikolskoye,RU,59.7035,30.7861,35.6,75,0,4.47,light snow
227,Yarim,YE,14.298,44.3779,54.37,48,37,2.93,scattered clouds
228,Pisco,PE,-13.7,-76.2167,71.6,73,0,21.85,clear sky
229,Anadyr,RU,64.75,177.4833,17.6,86,75,15.66,snow
230,Wanning,CN,18.8003,110.3967,76.06,92,11,7.94,few clouds
231,Tura,IN,25.5198,90.2201,69.19,93,5,7.87,clear sky
232,Tongren,CN,27.7172,109.1853,53.53,95,100,4.38,overcast clouds
233,Atambua,ID,-9.1061,124.8925,73.63,93,100,6.08,overcast clouds
234,Cairns,AU,-16.9167,145.7667,77.0,78,75,14.97,broken clouds
235,Saurimo,AO,-9.6608,20.3916,65.28,95,100,1.12,overcast clouds
236,Hailey,US,43.5196,-114.3153,59.0,18,1,8.05,clear sky
237,Vigrestad,NO,58.5667,5.7,37.99,87,40,4.0,scattered clouds
238,Kodiak,US,57.79,-152.4072,26.6,43,1,24.16,clear sky
239,Sal Rei,CV,16.1833,-22.9167,68.0,83,40,17.27,scattered clouds
240,Santiago,CL,-33.4569,-70.6483,71.6,49,2,4.61,clear sky
241,Almaznyy,RU,48.0448,40.045,46.4,66,0,13.42,clear sky
242,Albanel,CA,48.8832,-72.4487,21.2,58,100,14.97,overcast clouds
243,La Palma,US,33.8464,-118.0467,89.6,9,75,9.22,broken clouds
244,Mount Isa,AU,-20.7333,139.5,77.0,36,0,9.22,clear sky
245,Okha,RU,53.5739,142.9478,26.28,80,50,9.37,scattered clouds
246,La Baule-Escoublac,FR,47.2922,-2.364,62.6,59,0,9.22,clear sky
247,Menongue,AO,-14.6585,17.691,63.16,97,98,4.12,light rain
248,Vilhena,BR,-12.7406,-60.1458,73.4,94,40,2.3,light rain
249,Bonfim,BR,3.0833,-59.95,91.4,52,20,11.5,few clouds
250,Oranjemund,NA,-28.55,16.4333,60.46,89,1,11.05,clear sky
251,Beringovskiy,RU,63.05,179.3167,24.82,95,100,13.51,snow
252,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,82,20,8.05,few clouds
253,Tripoli,LY,32.8752,13.1875,61.52,58,0,9.57,clear sky
254,Lichuan,CN,30.3,108.85,51.55,97,100,3.44,overcast clouds
255,Lima,PE,-12.0432,-77.0282,71.6,73,0,10.36,clear sky
256,Cap Malheureux,MU,-19.9842,57.6142,77.0,85,17,5.01,light rain
257,Saint George,US,37.1041,-113.5841,75.2,7,1,5.66,clear sky
258,Guerrero Negro,MX,27.9769,-114.0611,70.38,49,1,14.72,clear sky
259,Mokhsogollokh,RU,61.4681,128.9203,18.39,90,100,3.0,overcast clouds
260,Tiarei,PF,-17.5333,-149.3333,87.8,70,75,3.44,light rain
261,Buala,SB,-8.145,159.5921,84.94,68,88,6.91,overcast clouds
262,Kodinsk,RU,58.6881,99.1844,16.97,96,100,3.62,light snow
263,Waddan,LY,29.1614,16.139,58.37,45,0,8.86,clear sky
264,Ilulissat,GL,69.2167,-51.1,37.4,60,90,25.32,overcast clouds
265,Kutum,SD,14.2,24.6667,69.26,16,21,11.63,few clouds
266,Bar Harbor,US,44.3876,-68.2039,41.0,81,90,9.22,overcast clouds
267,Ostrovnoy,RU,68.0531,39.5131,28.4,93,100,10.11,overcast clouds
268,Pevek,RU,69.7008,170.3133,-8.61,91,47,2.13,scattered clouds
269,Zemio,CF,5.0314,25.1361,75.42,67,72,2.73,broken clouds
270,Aberdeen,GB,57.1437,-2.0981,33.01,86,0,1.14,clear sky
271,Vesoul,FR,47.5833,5.8333,60.8,71,2,2.3,clear sky
272,Puerto Escondido,MX,15.85,-97.0667,86.0,66,1,6.91,clear sky
273,Majene,ID,-3.5403,118.9707,78.71,85,76,8.23,moderate rain
274,Omboue,GA,-1.5746,9.2618,76.75,90,88,3.74,overcast clouds
275,Cabra,ES,37.4725,-4.4421,62.6,77,75,10.36,broken clouds
276,Diamantino,BR,-14.4086,-56.4461,77.32,80,67,2.64,heavy intensity rain
277,Raga,SS,8.4596,25.678,81.09,22,78,2.75,broken clouds
278,Garissa,KE,-0.4536,39.6401,80.37,78,70,18.05,broken clouds
279,Joshimath,IN,30.5667,79.5667,43.27,29,0,7.02,clear sky
280,Borger,NL,52.9233,6.7931,39.99,91,83,6.6,broken clouds
281,Chitungwiza,ZW,-18.0127,31.0756,57.99,83,63,4.0,broken clouds
282,Kruisfontein,ZA,-34.0033,24.7314,62.01,78,62,1.12,broken clouds
283,Moyale,KE,3.5167,39.0584,73.44,53,41,14.43,scattered clouds
284,Te Anau,NZ,-45.4167,167.7167,54.81,76,85,5.7,overcast clouds
285,Kyabe,TD,9.4515,18.9449,86.94,12,42,8.57,scattered clouds
286,Shache,CN,38.4167,77.2406,42.8,70,100,8.59,overcast clouds
287,Havelock,US,34.8791,-76.9013,55.0,58,90,6.91,overcast clouds
288,Orlik,RU,52.5178,99.825,-5.42,96,26,2.66,scattered clouds
289,Leningradskiy,RU,69.3833,178.4167,-0.29,93,97,4.65,overcast clouds
290,Maragogi,BR,-9.0122,-35.2225,78.91,78,33,9.53,scattered clouds
291,Buchanan,LR,5.8808,-10.0467,79.07,88,56,7.83,broken clouds
292,Torbay,CA,47.6666,-52.7314,39.2,52,75,6.91,broken clouds
293,Havoysund,NO,70.9963,24.6622,28.4,80,100,6.44,overcast clouds
294,Caruray,PH,10.3094,119.0128,77.0,94,40,4.61,moderate rain
295,Algiers,DZ,36.7525,3.042,60.8,72,0,2.3,clear sky
296,Sechura,PE,-5.5569,-80.8222,79.27,59,45,14.85,scattered clouds
297,Dothan,US,31.2232,-85.3905,59.0,26,1,18.41,clear sky
