City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Ziro,IN,2021-03-29 15:31:57,27.6333,93.8333,78.8,69,75,4.61
131,Petropavlovsk-Kamchatskiy,RU,2021-03-29 15:30:17,53.0452,158.6483,24.8,54,75,8.95
132,Leningradskiy,RU,2021-03-29 15:31:58,69.3833,178.4167,-1.05,96,100,13.87
133,Toguchin,RU,2021-03-29 15:31:58,55.2353,84.3858,20.01,90,29,10.27
134,Ponta Do Sol,PT,2021-03-29 15:31:58,32.6667,-17.1,71.01,68,20,11.5
135,Benguela,AO,2021-03-29 15:31:58,-12.5763,13.4055,81.57,69,80,8.05
136,Zhezkazgan,KZ,2021-03-29 15:31:59,47.8043,67.7144,25.77,78,100,3.29
137,Smirnykh,RU,2021-03-29 15:31:59,49.75,142.8333,30.18,99,100,1.48
138,Bluff,NZ,2021-03-29 15:31:59,-46.6,168.3333,51.01,95,100,4.92
139,Avarua,CK,2021-03-29 15:32:00,-21.2078,-159.775,78.8,83,90,9.22
140,Hervey Bay,AU,2021-03-29 15:32:00,-25.2986,152.8535,72.0,82,19,9.08
141,Eyl,SO,2021-03-29 15:32:00,7.9803,49.8164,79.52,73,95,10.51
142,Hambantota,LK,2021-03-29 15:32:01,6.1241,81.1185,75.2,100,90,5.75
143,Ixtapa,MX,2021-03-29 15:32:01,20.7,-105.2,68.0,73,75,4.61
144,Sorsk,RU,2021-03-29 15:32:01,54.0033,90.2467,28.45,72,93,7.78
145,Aguimes,ES,2021-03-29 15:32:02,27.9054,-15.4461,70.0,60,75,6.91
146,Mount Gambier,AU,2021-03-29 15:32:02,-37.8333,140.7667,51.8,100,40,4.61
147,Bandarbeyla,SO,2021-03-29 15:32:02,9.4942,50.8122,79.68,71,99,7.09
148,Fostoria,US,2021-03-29 15:32:02,41.157,-83.4169,41.0,66,5,4.0
149,Roma,US,2021-03-29 15:30:04,43.2128,-75.4557,34.0,75,90,16.11
150,Chuy,UY,2021-03-29 15:32:03,-33.6971,-53.4616,74.66,61,71,9.55
151,Bogalusa,US,2021-03-29 15:32:03,30.791,-89.8487,62.01,41,1,6.91
152,Zambezi,ZM,2021-03-29 15:32:04,-13.5432,23.1047,70.3,84,80,6.82
153,Olafsvik,IS,2021-03-29 15:32:04,64.8945,-23.7142,31.01,62,99,20.92
154,Palmer,US,2021-03-29 15:32:04,42.1584,-72.3287,44.01,45,75,24.16
155,Port Macquarie,AU,2021-03-29 15:32:05,-31.4333,152.9167,63.0,99,22,1.99
156,Pisco,PE,2021-03-29 15:32:05,-13.7,-76.2167,73.99,73,0,5.75
157,Ilulissat,GL,2021-03-29 15:32:05,69.2167,-51.1,8.6,40,40,12.66
158,Barrow,US,2021-03-29 15:32:06,71.2906,-156.7887,-9.4,70,1,23.02
159,Santo Amaro Da Imperatriz,BR,2021-03-29 15:32:06,-27.6881,-48.7786,82.0,88,75,6.91
160,Lac Du Bonnet,CA,2021-03-29 15:32:06,50.2536,-96.0612,44.01,99,100,11.01
161,Jumla,NP,2021-03-29 15:32:07,29.2747,82.1838,49.73,75,100,3.69
162,Provideniya,RU,2021-03-29 15:32:07,64.3833,-173.3,14.41,88,99,8.01
163,Pila,PL,2021-03-29 15:32:07,53.1515,16.7378,50.0,90,100,8.99
164,Marsh Harbour,BS,2021-03-29 15:32:08,26.5412,-77.0636,77.63,67,64,9.6
165,Lotofaga,WS,2021-03-29 15:32:08,-13.9764,-171.8578,73.4,100,75,3.44
166,Alice Springs,AU,2021-03-29 15:28:47,-23.7,133.8833,62.6,63,0,5.75
167,Moshenskoye,RU,2021-03-29 15:32:08,58.5102,34.5911,37.04,93,100,10.18
168,Zhob,PK,2021-03-29 15:32:09,31.3411,69.4481,66.81,14,0,26.4
169,Notodden,NO,2021-03-29 15:32:09,59.5594,9.2585,64.4,42,40,14.97
170,Agirish,RU,2021-03-29 15:32:09,61.9247,63.0231,12.36,93,18,4.14
171,San Patricio,US,2021-03-29 15:32:09,28.017,-97.5169,66.2,59,1,6.91
172,Snezhnogorsk,RU,2021-03-29 15:32:10,69.1933,33.2531,39.2,70,75,4.47
173,Joshimath,IN,2021-03-29 15:32:10,30.5667,79.5667,54.05,74,82,3.53
174,Inongo,CD,2021-03-29 15:32:10,-1.95,18.2667,81.46,69,47,5.53
175,Port Blair,IN,2021-03-29 15:32:11,11.6667,92.75,81.0,74,100,1.28
176,Santiago,CL,2021-03-29 15:27:36,-33.4569,-70.6483,71.01,55,0,3.96
177,Komsomolskiy,UZ,2021-03-29 15:32:11,40.4272,71.7189,46.4,57,40,13.8
178,Vao,NC,2021-03-29 15:32:11,-22.6667,167.4833,78.4,75,53,10.92
179,Novyy Urgal,RU,2021-03-29 15:32:12,51.0736,132.5642,32.59,99,100,2.3
180,Ust-Barguzin,RU,2021-03-29 15:32:12,53.45,108.9833,20.91,94,100,3.53
181,Kamenka,RU,2021-03-29 15:32:12,51.3223,42.7678,33.01,94,100,10.42
182,Sompeta,IN,2021-03-29 15:32:12,18.9333,84.6,80.89,70,12,13.27
183,Bayan,CN,2021-03-29 15:32:13,46.0833,127.4,41.0,99,100,12.66
184,Kapuskasing,CA,2021-03-29 15:32:13,49.4169,-82.4331,24.8,54,82,4.61
185,San Vicente,AR,2021-03-29 15:32:13,-26.6167,-54.1333,62.38,91,99,1.39
186,Binahaan,PH,2021-03-29 15:32:13,13.9906,121.7581,79.0,88,100,1.01
187,Coahuayana,MX,2021-03-29 15:32:14,18.7333,-103.6833,75.2,46,75,3.51
188,Pavilosta,LV,2021-03-29 15:32:14,56.8879,21.1859,42.8,93,90,14.97
189,Manaure,CO,2021-03-29 15:32:14,11.7751,-72.4445,86.85,55,90,23.76
190,Evensk,RU,2021-03-29 15:32:15,61.95,159.2333,-5.66,79,10,6.29
191,Ippy,CF,2021-03-29 15:32:15,6.2679,21.2247,92.48,17,2,3.74
192,Yinchuan,CN,2021-03-29 15:32:15,38.4681,106.2731,55.45,25,19,7.83
193,Rheine,DE,2021-03-29 15:32:15,52.2833,7.45,68.0,34,0,17.27
194,Tiarei,PF,2021-03-29 15:32:16,-17.5333,-149.3333,77.0,73,20,4.61
195,Touros,BR,2021-03-29 15:32:16,-5.1989,-35.4608,87.8,62,75,10.36
196,Manokwari,ID,2021-03-29 15:32:16,-0.8667,134.0833,78.03,84,100,5.5
197,Tyrma,RU,2021-03-29 15:32:16,50.0833,132.1667,29.62,98,100,1.57
198,Makaha,US,2021-03-29 15:32:17,21.4694,-158.2175,73.4,82,20,3.44
199,Bukama,CD,2021-03-29 15:32:17,-9.2,25.85,73.51,85,57,1.5
200,Bundaberg,AU,2021-03-29 15:32:17,-24.85,152.35,72.0,88,40,6.91
201,Tazovskiy,RU,2021-03-29 15:32:18,67.4667,78.7,-6.39,93,100,5.77
202,Lyuban,BY,2021-03-29 15:32:18,52.7985,28.0048,46.13,59,14,3.04
203,Sandwick,GB,2021-03-29 15:32:18,60.0,-1.25,48.2,81,20,19.57
204,Copiapo,CL,2021-03-29 15:28:08,-27.3667,-70.3333,60.8,67,90,2.3
205,Polunochnoye,RU,2021-03-29 15:32:19,60.8697,60.4153,19.04,96,72,3.11
206,Tessalit,ML,2021-03-29 15:32:19,20.1986,1.0114,90.32,4,4,9.13
207,Hami,CN,2021-03-29 15:32:19,42.8,93.45,57.96,28,100,18.25
208,Jeremie,HT,2021-03-29 15:32:20,18.65,-74.1167,82.0,64,4,4.59
209,Nuuk,GL,2021-03-29 15:32:20,64.1835,-51.7216,23.0,42,75,3.44
210,Lanzhou,CN,2021-03-29 15:32:20,36.0564,103.7922,60.01,31,36,1.81
211,Cabedelo,BR,2021-03-29 15:32:21,-6.9811,-34.8339,84.2,79,75,8.05
212,Nome,US,2021-03-29 15:29:49,64.5011,-165.4064,30.99,100,90,9.22
213,Barentu,ER,2021-03-29 15:32:21,15.1139,37.5928,81.43,38,56,13.0
214,Bose,IT,2021-03-29 15:32:21,45.4612,8.0137,73.0,33,0,2.3
215,Srednekolymsk,RU,2021-03-29 15:32:22,67.45,153.6833,-12.82,99,84,5.95
216,Bambous Virieux,MU,2021-03-29 15:32:22,-20.3428,57.7575,80.01,94,40,3.44
217,Flinders,AU,2021-03-29 15:32:22,-34.5833,150.8552,63.0,76,98,1.01
218,Saint-Augustin,CA,2021-03-29 15:32:22,51.226,-58.6502,31.71,98,100,19.48
219,Cayenne,GF,2021-03-29 15:32:23,4.9333,-52.3333,87.8,66,75,19.57
220,Hun,LY,2021-03-29 15:32:23,29.1268,15.9477,74.53,14,90,10.31
221,Te Anau,NZ,2021-03-29 15:32:23,-45.4167,167.7167,50.27,93,100,1.03
222,Thunder Bay,CA,2021-03-29 15:31:48,48.4001,-89.3168,35.6,69,90,17.27
223,San Carlos De Bariloche,AR,2021-03-29 15:32:25,-41.1456,-71.3082,69.8,17,0,5.75
224,Canutama,BR,2021-03-29 15:32:25,-6.5339,-64.3831,78.89,91,91,2.73
225,Altamira,BR,2021-03-29 15:32:25,-3.2033,-52.2064,84.2,79,40,6.91
226,Ramanuj Ganj,IN,2021-03-29 15:32:26,23.8,83.7,78.35,15,1,4.79
227,Lakselv,NO,2021-03-29 15:32:26,70.0513,24.9718,39.2,70,75,21.85
228,Los Llanos De Aridane,ES,2021-03-29 15:32:26,28.6585,-17.9182,69.8,68,20,11.5
229,Naryan-Mar,RU,2021-03-29 15:30:15,67.6713,53.087,33.94,98,100,11.72
230,Kaohsiung,TW,2021-03-29 15:32:27,22.6163,120.3133,78.8,78,75,5.75
231,Shima,CN,2021-03-29 15:28:02,24.4478,117.8111,69.8,88,75,2.24
232,Zhovkva,UA,2021-03-29 15:32:27,50.0583,23.9726,50.0,50,0,6.71
233,Kawalu,ID,2021-03-29 15:32:27,-7.3817,108.2082,74.28,95,87,0.96
234,Belaya Gora,RU,2021-03-29 15:32:28,68.5333,146.4167,-11.65,100,87,4.25
235,Itarema,BR,2021-03-29 15:32:29,-2.9248,-39.9167,85.24,66,41,7.85
236,Skibotn,NO,2021-03-29 15:32:29,69.3913,20.2679,41.0,60,20,11.5
237,Necochea,AR,2021-03-29 15:32:30,-38.5473,-58.7368,67.62,48,10,9.1
238,Nha Trang,VN,2021-03-29 15:32:30,12.25,109.1833,78.8,83,0,4.61
239,Yelniki,RU,2021-03-29 15:32:30,54.6207,43.876,25.83,95,13,4.21
240,Oxapampa,PE,2021-03-29 15:32:31,-10.5775,-75.4017,58.87,98,100,1.97
241,Port Lincoln,AU,2021-03-29 15:32:31,-34.7333,135.8667,63.9,80,0,10.38
242,Nanortalik,GL,2021-03-29 15:32:31,60.1432,-45.2371,25.77,54,11,11.43
243,Laguna,US,2021-03-29 15:32:32,38.421,-121.4238,53.01,81,1,4.61
244,Sosua,DO,2021-03-29 15:32:32,19.7667,-70.5167,82.4,74,75,13.8
245,Mana,GF,2021-03-29 15:32:32,5.6592,-53.7767,80.96,78,90,13.49
246,Abha,SA,2021-03-29 15:32:33,18.2164,42.5053,71.6,30,0,14.97
247,Winnemucca,US,2021-03-29 15:32:33,40.973,-117.7357,37.4,44,90,14.97
248,Litovko,RU,2021-03-29 15:32:34,49.2361,135.1742,32.68,99,100,4.34
249,Nemuro,JP,2021-03-29 15:32:35,43.3236,145.575,40.17,92,96,22.77
250,Ocos,GT,2021-03-29 15:32:35,14.5094,-92.1933,86.0,70,20,4.61
251,Podporozhye,RU,2021-03-29 15:32:36,60.9112,34.1706,37.62,89,100,11.92
252,San Cristobal,VE,2021-03-29 15:32:36,7.7669,-72.225,80.6,65,40,4.61
253,Senno,RU,2021-03-29 15:32:37,59.5336,33.9167,36.37,97,100,9.84
254,Gustrow,DE,2021-03-29 15:32:37,53.7972,12.1734,59.0,67,20,16.11
255,Corrente,BR,2021-03-29 15:32:37,-3.7367,-43.3394,86.76,61,74,4.54
256,Aklavik,CA,2021-03-29 15:32:38,68.2191,-135.0107,-16.6,76,20,5.75
257,Krasnoselkup,RU,2021-03-29 15:32:38,65.7,82.4667,-12.08,96,28,9.86
258,Manaus,BR,2021-03-29 15:32:38,-3.1019,-60.025,84.2,78,75,3.44
259,Dikson,RU,2021-03-29 15:32:39,73.5069,80.5464,-25.83,99,6,7.74
260,Poronaysk,RU,2021-03-29 15:32:39,49.2167,143.1167,30.85,98,100,2.91
261,Milford,US,2021-03-29 15:32:39,41.2223,-73.0565,50.0,37,40,18.41
262,Coquimbo,CL,2021-03-29 15:31:50,-29.9533,-71.3436,62.6,67,90,4.61
263,Alugan,PH,2021-03-29 15:32:40,12.2188,125.4808,79.25,84,100,7.78
264,Olinda,BR,2021-03-29 15:28:14,-8.0089,-34.8553,82.4,69,40,9.22
265,Pringsewu,ID,2021-03-29 15:32:40,-5.3582,104.9744,74.21,97,94,2.66
266,Guaraniacu,BR,2021-03-29 15:32:40,-25.1008,-52.8781,70.9,84,94,4.59
267,Georgetown,MY,2021-03-29 15:32:41,5.4112,100.3354,84.2,74,20,1.14
268,Villanueva De La Serena,ES,2021-03-29 15:32:41,38.9766,-5.7974,75.99,36,17,7.0
269,Sakakah,SA,2021-03-29 15:32:41,29.9697,40.2064,71.6,11,0,9.22
270,Kitob,UZ,2021-03-29 15:32:41,39.0843,66.8332,42.8,75,90,9.22
271,Klaksvik,FO,2021-03-29 15:32:42,62.2266,-6.589,41.0,87,75,26.46
272,Dicabisagan,PH,2021-03-29 15:32:42,17.0818,122.4157,76.91,88,14,4.59
273,Ancud,CL,2021-03-29 15:32:42,-41.8697,-73.8203,72.0,63,0,13.8
274,Japura,ID,2021-03-29 15:32:43,-0.3167,102.35,74.98,96,26,0.6
275,Pokaran,IN,2021-03-29 15:32:43,26.9167,71.9167,91.81,14,34,13.02
276,Kidal,ML,2021-03-29 15:32:44,18.4411,1.4078,90.64,5,2,11.01
277,Pombia,IT,2021-03-29 15:32:44,45.653,8.6336,72.0,33,0,5.75
278,Porto Novo,BJ,2021-03-29 15:32:44,6.4965,2.6036,87.8,70,20,12.66
279,Naze,JP,2021-03-29 15:32:46,28.3667,129.4833,64.83,87,64,6.11
280,Mao,ES,2021-03-29 15:32:46,39.8885,4.2658,62.6,72,0,16.11
